frame;episode;reward;epsilon;time;avg_eval_reward;avg_eval_episode_length;avg_td_noise
1000;1;-17.241379310344715;0.6488725250287216;16.070232391357422;;;0.990708887134785
2000;2;-69.59459459459491;0.39749577407794645;35.85187768936157;;;0.9301335885247061
3000;3;-81.20300751879661;0.24502806748735442;53.70635485649109;;;0.8339037397754624
4000;4;-38.35616438356244;0.15255172882409043;73.3049156665802;;;0.7772098003210974
5000;5;-48.148148148149;0.09646199412685195;93.23981285095215;;;0.7458367891475204
6000;6;-57.09570957095786;0.062441850337829355;111.81342434883118;;;0.734068886868255
7000;7;-33.33333333333409;0.041807590081954824;132.2192108631134;;;0.7207941743130771
8000;8;-39.577039274925255;0.029292278596277074;152.3956286907196;;;0.7098497113183617
9000;9;-36.02693602693679;0.02170135846435986;172.40419745445251;;;0.7056411105338627
10000;10;-50.49504950495128;0.017097232668922192;194.106520652771;-51.61;250.0;0.696440614293695
11000;11;-80.69498069498034;0.01430468921281543;280.0572557449341;;;0.6833299802778595
12000;12;-64.02877697841802;0.0126109259881068;299.6871461868286;;;0.6695581524196539
13000;13;-49.61240310077592;0.011583606662027277;319.2595407962799;;;0.6631374877211228
14000;14;-31.506849315069264;0.010960505993444726;337.81448316574097;;;0.6531338250701058
15000;15;-28.125000000000504;0.010582576333861967;358.67192459106445;;;0.6436744712004661
16000;16;-30.501930501931025;0.010353350408110267;379.1871886253357;;;0.6375297747803939
17000;17;-36.32958801498205;0.010214317856140848;398.901154756546;;;0.6358127000358227
17724;18;-129.71633986928146;0.010149225744344521;413.71469736099243;;;0.6327677338968285
18724;19;20.401337792641513;0.010090509989163391;434.9757294654846;;;0.6357304707481977
19724;20;-51.36778115501568;0.010054897083437856;456.12045431137085;-18.29;250.0;0.6408102175829058
20724;21;-30.90909090909175;0.010033296764233863;543.3314211368561;;;0.6476166271490669
21724;22;-8.474576271187377;0.01002019550837706;562.1632649898529;;;0.6488709086338403
22724;23;74.24242424242877;0.01001224919501917;581.1113994121552;;;0.649508828100773
23724;24;4.234527687296843;0.010007429512335927;600.5112226009369;;;0.6490736218800737
24724;25;5.633802816902147;0.010004506227018452;621.6071085929871;;;0.6533927544436562
25724;26;-33.33333333333412;0.010002733164846317;642.2743487358093;;;0.6572239994996926
26724;27;13.074204946996144;0.01000165774827734;663.677464723587;;;0.6602367931374706
27724;28;8.695652173913407;0.010001005475156293;684.8681488037109;;;0.659061967542098
28436;29;-104.5548172757481;0.010000704307817309;698.6721038818359;;;0.6604041368265035
29020;30;-48.55936395759604;0.010000525954917606;710.079592704773;0.34;219.8;0.6651538030124772
30020;31;356.6666666666533;0.010000319007783155;794.7745287418365;;;0.6720927842524613
31020;32;92.43986254295984;0.01000019348800117;817.0648560523987;;;0.6825163567338403
32020;33;419.6850393700688;0.010000117356404997;839.3779511451721;;;0.6927373895600554
33020;34;54.09836065573962;0.010000071180257744;863.816691160202;;;0.7126034612306267
34020;35;545.4545454545336;0.010000043173008687;887.529488325119;;;0.7335655489069991
35020;36;218.02120141342937;0.01000002618575344;910.1681010723114;;;0.7427483051823147
36020;37;671.4285714285598;0.01000001588246231;933.9505751132965;;;0.7514459509767819
37020;38;323.841059602637;0.010000009633200344;956.7677569389343;;;0.7645997524625765
38020;39;851.4925373134167;0.01000000584283136;977.949301481247;;;0.7750674162652986
39020;40;281.09756097559796;0.01000000354385636;999.595784664154;513.74;250.0;0.7891733282410813
40020;41;697.8339350180397;0.010000002149457536;1098.2000079154968;;;0.8012006399215182
41020;42;445.45454545454544;0.010000001303711897;1118.5701818466187;;;0.8155222009100073
42020;43;751.8518518518359;0.010000000790741237;1139.1092784404755;;;0.8287461586001352
43020;44;666.8918918918782;0.010000000479608804;1160.356778383255;;;0.8401185005610751
44020;45;715.60283687942;0.010000000290897445;1181.4319875240326;;;0.8518302418588262
45020;46;869.0721649484358;0.010000000176438218;1202.6607377529144;;;0.8702626693791345
46020;47;880.3278688524468;0.01000000010701519;1223.820502281189;;;0.8855147463933
47020;48;256.49546827794603;0.010000000064907994;1246.1038935184479;;;0.899159924319082
48020;49;310.5263157894598;0.010000000039368689;1267.406424999237;;;0.9103136751203434
49020;50;857.2953736654681;0.010000000023878316;1288.7297759056091;430.82;250.0;0.9296671223545725
50020;51;641.8300653594622;0.01000000001448293;1379.9100778102875;;;0.9453474965558132
51020;52;539.5759717314462;0.010000000008784342;1400.254058122635;;;0.9595329950940413
52020;53;180.25477707006806;0.010000000005327973;1421.3678817749023;;;0.9722457115785498
53020;54;202.72108843537868;0.010000000003231578;1442.4819161891937;;;0.9915244442560635
54020;55;186.18421052632027;0.010000000001960052;1462.5613152980804;;;1.0048414912678636
55020;56;548.8294314381214;0.010000000001188832;1483.1137397289276;;;1.0169350980050564
56020;57;425.54744525547557;0.010000000000721062;1503.3873596191406;;;1.0279882242744494
57020;58;476.92307692306485;0.010000000000437347;1524.303068637848;;;1.0502000267167457
58020;59;505.8631921824002;0.010000000000265264;1545.3255882263184;;;1.0655731531494503
