Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.2136;0.5698;0.6654;1.4777;0.4077;-6.8377;1.43
33;132;0;-0.4000;2.1811;0.4325;0.6123;1.4599;0.3748;-6.8077;1.49
34;136;0;-0.4000;2.1419;0.3288;0.6379;1.4513;0.3613;-6.7415;1.57
35;140;0;-0.4000;2.1151;0.2618;0.6258;1.4410;0.3753;-6.7045;1.65
36;144;0;3.1461;2.4294;0.2095;0.7322;1.5316;0.4117;-6.6658;1.72
37;148;0;-0.4000;2.4003;0.1745;0.7222;1.5213;0.4501;-6.6258;1.79
38;152;0;-0.4000;2.3775;0.1521;0.7189;1.5144;0.4817;-6.5869;1.87
39;156;0;-0.4000;2.3610;0.1308;0.7286;1.5117;0.5081;-6.5498;1.94
40;160;0;3.1461;2.3811;0.1081;0.7357;1.5181;0.5408;-6.5074;2.03
41;164;0;-0.4000;2.3238;0.0870;0.7288;1.5012;0.5703;-6.4667;2.11
42;168;0;-0.4000;2.6246;0.0690;0.8532;1.5850;0.6009;-6.4216;2.19
43;172;0;-0.4000;2.3307;0.0522;0.7356;1.5035;0.6381;-6.3730;2.26
44;176;0;3.1461;2.8380;0.0387;0.9187;1.6271;0.6674;-6.3251;2.33
45;180;0;-0.4000;2.2625;0.0271;0.7771;1.4920;0.7163;-6.2704;2.41
46;184;0;-0.4000;1.9339;0.0172;0.7143;1.3897;0.7610;-6.2087;2.49
47;188;0;-0.4000;1.3262;0.0097;0.6874;1.1484;0.7971;-3.2079;2.56
48;192;0;-0.4000;0.9989;0.0051;0.5814;0.9994;0.8379;-3.1680;2.64
49;196;0;-0.4000;2.1280;0.0051;0.7647;1.4461;0.8904;-6.0322;2.72
50;200;0;-0.4000;2.1287;0.0068;0.7887;1.4495;0.9520;-5.9735;2.79
51;204;0;-0.4000;0.7161;0.0086;0.5336;0.8334;0.9959;-3.2016;2.87
52;208;0;3.1461;2.5369;0.0115;0.9160;1.5471;1.0063;-5.8540;2.95
