Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.4105;1.3374;0.7815;1.5360;0.4178;-6.6613;1.45
33;132;0;-0.4000;2.3638;1.0921;0.6967;1.5053;0.4096;-6.6112;1.51
34;136;0;-0.4000;2.0202;0.9052;0.5865;1.4041;0.4796;-6.5414;1.59
35;140;0;-0.4000;2.2605;0.7507;0.6708;1.4704;0.5416;-6.4770;1.66
36;144;0;-0.4000;2.2202;0.6423;0.6795;1.4609;0.5980;-6.4114;1.73
37;148;0;-0.4000;1.9363;0.5794;0.6021;1.3797;0.6490;-6.3554;1.81
38;152;0;-0.4000;1.8020;0.5474;0.5647;1.3302;0.6955;-6.2986;1.88
39;156;0;-0.4000;1.8784;0.5067;0.5912;1.3592;0.7518;-6.2333;1.96
40;160;0;3.1088;2.0389;0.4635;0.6183;1.3937;0.8007;-6.1692;2.03
41;164;0;-0.4000;2.0208;0.4201;0.6341;1.3931;0.8525;-6.1040;2.10
42;168;0;-0.4000;1.7066;0.3688;0.5866;1.3012;0.9110;-6.0363;2.17
43;172;0;-0.4000;1.0651;0.3212;0.5423;1.0229;0.9691;-3.2404;2.25
44;176;0;-0.4000;1.4546;0.2870;0.4776;1.2051;1.0243;-5.8997;2.32
45;180;0;-0.4000;1.9164;0.2656;0.6235;1.3612;1.0632;-5.8363;2.40
46;184;0;-0.4000;1.8102;0.2415;0.5539;1.3066;1.1021;-5.7663;2.47
47;188;0;-0.4000;1.9851;0.2085;0.6786;1.3672;1.1787;-5.6845;2.54
48;192;0;3.1088;1.9327;0.1764;0.6834;1.3477;1.2676;-5.5939;2.61
49;196;0;-0.4000;1.3100;0.1651;0.5164;1.1418;1.3680;-5.4973;2.68
50;200;0;-0.4000;1.8491;0.1689;0.6929;1.3229;1.4102;-5.4183;2.76
51;204;0;-0.4000;2.3289;0.1781;0.8621;1.4796;1.4684;-5.3321;2.83
52;208;0;-0.4000;1.7190;0.2097;0.6611;1.2978;1.4939;-5.2501;2.91
53;212;0;-0.4000;1.8786;0.2770;0.6510;1.3436;1.4684;-5.1736;2.98
54;216;0;-0.4000;1.5198;0.3926;0.5277;1.2190;1.3007;-5.1155;3.06
55;220;0;-0.4000;1.8171;0.5365;0.6775;1.3302;0.9015;-5.0819;3.13
