Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.0398;0.9852;0.6180;1.4150;0.4081;-6.4804;1.89
33;132;0;3.0364;2.2949;0.9035;0.7258;1.4768;0.4237;-6.4610;1.94
34;136;0;-0.4000;2.2669;0.8208;0.7519;1.4794;0.4409;-6.4242;2.00
35;140;0;-0.4000;1.9422;0.7813;0.6633;1.3826;0.4300;-6.3815;2.06
36;144;0;-0.4000;1.8972;0.7144;0.6292;1.3609;0.4325;-6.3227;2.12
37;148;0;-0.4000;0.3826;0.6425;0.3716;0.6061;0.4449;-3.0107;2.18
38;152;0;-0.4000;2.1480;0.5695;0.6903;1.4300;0.4134;-6.2098;2.24
39;156;0;-0.4000;0.9076;0.5106;0.5374;0.9512;0.5393;-2.9706;2.30
40;160;0;-0.4000;1.7913;0.4610;0.6482;1.3342;0.6368;-6.1183;2.35
41;164;0;-0.4000;1.7752;0.4202;0.6292;1.3273;0.6920;-6.0703;2.41
42;168;0;-0.4000;1.7582;0.3884;0.6376;1.3225;0.7156;-6.0015;2.47
43;172;0;-0.4000;1.4761;0.3920;0.5597;1.2149;0.7037;-5.9142;2.55
44;176;0;-0.4000;1.4297;0.4599;0.5288;1.1956;0.6246;-5.8208;2.61
45;180;0;-0.4000;1.3935;0.5635;0.4835;1.1782;0.4826;-5.7575;2.67
46;184;0;-0.4000;0.9888;0.5837;0.4433;0.9790;0.3694;-3.2225;2.74
47;188;0;-0.4000;1.6654;0.5552;0.5223;1.2688;0.3215;-5.6713;2.80
48;192;0;-0.4000;0.6440;0.5420;0.3675;0.8023;0.3754;-3.0808;2.88
49;196;0;-0.4000;0.3397;0.5696;0.2724;0.5779;0.4238;-3.0137;2.94
50;200;0;-0.4000;0.6326;0.5835;0.3670;0.7953;0.4412;-3.0434;3.00
51;204;0;-0.4000;1.5206;0.5833;0.5160;1.2175;0.4444;-5.3616;3.07
52;208;0;-0.4000;1.1938;0.5542;0.4487;1.0908;0.4757;-5.2178;3.13
53;212;0;-0.4000;0.8992;0.4956;0.4573;0.9429;0.4815;-3.0182;3.19
54;216;0;-0.4000;1.6765;0.4603;0.6623;1.2781;0.5159;-4.9508;3.26
55;220;0;-0.4000;0.8923;0.3999;0.4848;0.9418;0.5661;-2.9926;3.32
56;224;0;3.0364;1.0733;0.3702;0.4727;1.0357;0.6164;-4.6967;3.38
57;228;0;-0.4000;1.2978;0.3330;0.5769;1.1358;0.6107;-4.5646;3.46
58;232;0;-0.4000;1.4849;0.3030;0.6239;1.1989;0.5878;-4.4128;3.52
59;236;0;-0.4000;0.8717;0.2536;0.4847;0.9292;0.5917;-2.9458;3.59
60;240;0;-0.4000;1.1207;0.2569;0.5366;1.0528;0.6096;-4.0491;3.66
61;244;0;-0.4000;1.3282;0.2353;0.6152;1.1355;0.6325;-3.8548;3.73
62;248;0;-0.4000;0.7654;0.2101;0.4242;0.8747;0.6650;-3.6376;3.79
63;252;0;-0.4000;0.4819;0.2086;0.3420;0.6884;0.6636;-3.4312;3.85
64;256;0;-0.4000;0.6740;0.2331;0.4296;0.8203;0.6236;-3.1465;3.91
65;260;0;-0.4000;0.6221;0.2248;0.3797;0.7886;0.5601;-3.0094;3.97
66;264;0;-0.4000;0.9123;0.2394;0.5020;0.9525;0.5138;-3.0422;4.03
67;268;0;-0.4000;0.3490;0.2505;0.3034;0.5831;0.5050;-2.9306;4.10
68;272;0;-0.4000;0.7733;0.2929;0.4165;0.8712;0.4887;-3.0690;4.16
69;276;0;-0.4000;0.4572;0.2989;0.3287;0.6762;0.4730;-2.9650;4.23
70;280;0;-0.4000;0.4357;0.2948;0.3235;0.6600;0.4454;-2.9928;4.29
71;284;0;-0.4000;1.1757;0.6520;0.5374;1.0603;0.4823;-3.0776;4.36
72;288;0;-0.4000;7.7819;0.7424;2.0231;2.3006;5.2403;-1.6581;4.42
73;292;0;3.0364;1.1546;0.2933;0.7119;1.0745;0.8036;-2.9117;4.48
74;296;0;-0.4000;1.2489;0.2268;0.5609;1.0995;0.5666;-3.3893;4.55
75;300;0;-0.4000;1.2381;0.2231;0.4864;1.1000;0.5918;-4.2014;4.61
76;304;0;-0.4000;1.0752;0.2106;0.5096;1.0333;0.6292;-3.7282;4.69
77;308;0;-0.4000;0.8647;0.1950;0.4244;0.9221;0.6543;-2.9982;4.75
78;312;0;-0.4000;0.7335;0.1540;0.3841;0.8563;0.6755;-3.4227;4.82
79;316;0;-0.4000;0.7667;0.1452;0.4339;0.8749;0.6783;-3.4122;4.89
80;320;0;-0.4000;1.1383;0.1708;0.5519;1.0538;0.6528;-3.3908;4.95
81;324;0;3.0364;1.0179;0.1257;0.4498;0.9982;0.6286;-3.3832;5.01
82;328;0;-0.4000;0.2647;0.1449;0.3157;0.4832;0.6155;-2.2269;5.08
83;332;0;-0.4000;0.4309;0.1265;0.3316;0.6448;0.5621;-3.2904;5.15
84;336;0;-0.4000;0.9486;0.1413;0.5011;0.9712;0.4961;-3.2539;5.21
85;340;0;-0.4000;1.2655;0.1464;0.5818;1.1085;0.4521;-3.3270;5.27
86;344;0;-0.4000;0.7432;0.1679;0.4211;0.8576;0.4413;-2.9936;5.34
87;348;0;-0.4000;0.9638;0.1304;0.5118;0.9794;0.4645;-3.1808;5.40
88;352;0;-0.4000;0.8444;0.1379;0.4912;0.9181;0.4851;-3.3114;5.48
89;356;0;-0.4000;1.2778;0.1008;0.5779;1.1123;0.4930;-3.3014;5.55
90;360;0;-0.4000;0.5250;0.1192;0.3692;0.7237;0.5112;-3.2887;5.61
91;364;0;3.0364;0.4148;0.0837;0.3733;0.6198;0.5130;-3.1704;5.68
92;368;0;-0.4000;1.3383;0.0795;0.6248;1.1445;0.4915;-3.4062;5.75
93;372;0;-0.4000;0.6740;0.0781;0.3935;0.8210;0.4770;-3.1978;5.82
94;376;0;-0.4000;0.7232;0.0825;0.4489;0.8490;0.4600;-3.3963;5.89
95;380;0;-0.4000;1.5751;0.0790;0.6832;1.2216;0.4405;-3.2563;5.96
96;384;0;-0.4000;0.6915;0.0782;0.4575;0.8286;0.4491;-3.2093;6.03
97;388;0;-0.4000;0.3555;0.0767;0.3376;0.5769;0.4474;-2.9898;6.10
98;392;0;-0.4000;0.5123;0.0989;0.4028;0.7104;0.4418;-3.2439;6.17
99;396;0;-0.4000;1.1141;0.0951;0.5971;1.0502;0.4269;-3.2410;6.24
100;400;0;-0.4000;1.0483;0.0883;0.5530;1.0151;0.4135;-3.2118;6.31
101;404;0;-0.4000;0.6570;0.0609;0.4239;0.8095;0.4140;-3.1084;6.37
102;408;0;-0.4000;0.4326;0.0776;0.3692;0.6530;0.4143;-3.0188;6.44
103;412;0;-0.4000;1.6389;0.0740;0.7369;1.2372;0.4178;-3.2220;6.51
104;416;0;3.0364;1.0771;0.0691;0.5620;1.0302;0.4418;-3.3729;6.57
105;420;0;-0.4000;0.3897;0.0456;0.3622;0.6012;0.4678;-3.1068;6.65
106;424;0;-0.4000;0.7051;0.0662;0.4534;0.8396;0.4752;-3.1180;6.71
107;428;0;-0.4000;0.7052;0.0441;0.4420;0.8384;0.4863;-3.3610;6.78
108;432;0;-0.4000;0.6662;0.0441;0.4568;0.8123;0.4937;-3.0911;6.85
109;436;0;-0.4000;0.3839;0.0437;0.3487;0.5999;0.4965;-3.1021;6.92
110;440;0;-0.4000;0.1049;0.0443;0.2815;0.1601;0.4871;0.0504;6.99
111;444;0;-0.4000;1.3606;0.0656;0.6406;1.1453;0.4631;-3.3484;7.06
112;448;0;-0.4000;1.3116;0.0521;0.5870;1.1267;0.4411;-3.3424;7.14
113;452;0;-0.4000;0.9448;0.0582;0.5182;0.9706;0.4412;-3.0790;7.21
114;456;0;-0.4000;0.3652;0.0669;0.3370;0.5863;0.4326;-3.0450;7.28
115;460;0;-0.4000;1.3234;0.0875;0.6042;1.1237;0.4202;-3.2882;7.35
116;464;0;-0.4000;0.7426;0.0745;0.4266;0.8616;0.4253;-3.2909;7.42
117;468;0;-0.4000;0.9682;0.0945;0.5629;0.9821;0.4252;-3.0267;7.49
118;472;0;-0.4000;0.3490;0.0760;0.3210;0.5754;0.4391;-2.9954;7.56
119;476;0;-0.4000;0.9715;0.0776;0.5192;0.9838;0.4529;-3.2907;7.63
120;480;0;-0.4000;1.6550;0.0932;0.7109;1.2427;0.4621;-3.3153;7.70
121;484;0;-0.4000;1.2037;0.0708;0.6005;1.0867;0.4908;-3.0592;7.77
