Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.4105;15981.1807;0.7815;1.5360;0.4177;-6.6614;0.56
33;132;0;-0.4000;2.3681;15960.5449;0.6999;1.5072;0.4024;-6.6184;0.65
34;136;0;-0.4000;2.0163;15972.1943;0.5935;1.4041;0.4846;-6.5392;0.74
35;140;0;-0.4000;2.2469;15972.3057;0.6675;1.4659;0.5533;-6.4713;0.83
36;144;0;-0.4000;2.2015;16105.3770;0.6587;1.4510;0.6135;-6.4069;0.92
37;148;0;-0.4000;1.9219;15909.7412;0.5795;1.3718;0.6697;-6.3450;1.01
38;152;0;-0.4000;1.7856;15835.3223;0.5402;1.3211;0.7242;-6.2852;1.10
39;156;0;-0.4000;1.8712;15823.8447;0.5695;1.3540;0.7849;-6.2217;1.19
40;160;0;3.1088;2.0223;15912.8057;0.5892;1.3825;0.8466;-6.1589;1.28
41;164;0;-0.4000;2.0075;15891.4941;0.6143;1.3857;0.9128;-6.0922;1.37
42;168;0;-0.4000;1.7020;15784.7012;0.5829;1.2992;0.9811;-6.0252;1.46
43;172;0;-0.4000;1.0501;16163.1055;0.5453;1.0148;1.0461;-3.2389;1.55
44;176;0;-0.4000;1.4723;15528.3223;0.5046;1.2120;1.1129;-5.8959;1.64
45;180;0;-0.4000;1.9165;15418.2373;0.6627;1.3615;1.1733;-5.8372;1.73
46;184;0;-0.4000;1.7980;15317.6270;0.5920;1.3017;1.2358;-5.7764;1.82
47;188;0;-0.4000;1.9692;15141.8643;0.7072;1.3661;1.3095;-5.7050;1.92
48;192;0;3.1088;1.9293;15018.9834;0.7111;1.3492;1.3868;-5.6289;2.01
49;196;0;-0.4000;1.3865;14245.8623;0.5479;1.1732;1.4716;-5.5448;2.10
50;200;0;-0.4000;1.8541;13723.1201;0.7044;1.3312;1.5426;-5.4743;2.19
51;204;0;-0.4000;2.3654;12929.3701;0.8762;1.5017;1.6183;-5.3996;2.28
52;208;0;-0.4000;1.7762;12148.0029;0.6836;1.3246;1.6992;-5.3184;2.37
53;212;0;-0.4000;1.9590;11257.2930;0.6850;1.3789;1.7799;-5.2366;2.46
54;216;0;-0.4000;1.6522;10196.1680;0.5945;1.2761;1.8541;-5.1620;2.55
55;220;0;-0.4000;2.0550;9222.2598;0.7704;1.4292;1.9280;-5.0876;2.64
56;224;0;-0.4000;0.9513;8327.4287;0.5527;0.9715;1.9934;-2.9818;2.73
57;228;0;-0.4000;2.0335;7673.2617;0.8470;1.4255;2.0343;-4.9781;2.82
58;232;0;-0.4000;1.7009;7676.7485;0.6902;1.3000;2.0681;-4.9427;2.91
59;236;0;-0.4000;2.1799;7842.7349;0.8698;1.4763;2.1038;-4.9165;3.00
60;240;0;-0.4000;2.0433;7189.3682;0.8595;1.4294;2.0788;-4.9929;3.09
61;244;0;-0.4000;0.9123;6748.5996;0.5291;0.9284;1.8050;-2.9917;3.18
62;248;0;-0.4000;1.1769;6228.4292;0.6027;1.0812;1.6350;-3.3197;3.27
63;252;0;-0.4000;1.6123;5948.4253;0.6413;1.2698;1.7004;-5.3548;3.36
64;256;0;-0.4000;0.8872;5596.1040;0.5385;0.9117;1.7354;-2.9863;3.45
65;260;0;-0.4000;1.7780;5433.5068;0.6979;1.3325;1.6931;-5.3585;3.54
66;264;0;3.1088;2.1453;5086.3618;0.7886;1.4438;1.6216;-5.4341;3.63
67;268;0;-0.4000;0.9050;4872.0073;0.5267;0.9389;1.5584;-2.9859;3.73
68;272;0;-0.4000;1.0036;4677.4570;0.5680;1.0004;1.5127;-3.2604;3.82
69;276;0;-0.4000;2.0820;4486.3394;0.7491;1.3958;1.4965;-5.5934;3.91
70;280;0;-0.4000;1.0087;4239.5312;0.6465;0.9850;1.5256;-3.2428;4.00
71;284;0;3.1088;0.8878;4098.0957;0.5886;0.9046;1.5440;-3.2308;4.09
72;288;0;-0.4000;0.8729;3986.6331;0.5000;0.9270;1.5327;-3.2222;4.18
73;292;0;-0.4000;1.0029;3887.3789;0.6001;0.9955;1.4783;-2.9225;4.27
74;296;0;-0.4000;2.1862;3775.4761;0.8228;1.4775;1.4595;-5.8630;4.36
75;300;0;-0.4000;1.2579;3707.7798;0.7831;1.0831;1.4457;-2.9047;4.46
76;304;0;-0.4000;2.4780;3652.2292;0.9209;1.5674;1.3975;-5.9694;4.55
77;308;0;-0.4000;2.5333;3480.7454;0.9873;1.5893;1.3516;-6.0331;4.64
78;312;0;-0.4000;1.1748;3394.3774;0.6837;1.0835;1.3136;-3.1873;4.73
79;316;0;-0.4000;1.9098;3413.9170;0.7507;1.3717;1.2938;-6.1409;4.82
80;320;0;-0.4000;0.5116;3272.2893;0.4375;0.6671;1.2766;-2.8715;4.91
81;324;0;-0.4000;1.9360;3213.2644;0.7570;1.3807;1.2484;-6.1911;5.00
82;328;0;-0.4000;0.9429;3045.3552;0.6400;0.9556;1.2052;-2.8735;5.10
83;332;0;-0.4000;2.0945;3122.2744;0.7769;1.4445;1.1583;-6.2758;5.19
84;336;0;-0.4000;2.4612;3001.4578;0.8566;1.5497;1.1266;-6.2864;5.28
85;340;0;-0.4000;2.4252;2953.2749;0.8900;1.5468;1.1094;-6.2697;5.37
86;344;0;-0.4000;1.8784;2923.5388;0.6656;1.3695;1.0981;-6.2267;5.46
87;348;0;-0.4000;2.0255;2854.0176;0.7816;1.4224;1.0825;-6.1623;5.55
88;352;0;-0.4000;0.3067;2826.3232;0.3817;0.4012;1.0623;0.0065;5.64
89;356;0;-0.4000;2.0379;2762.1321;0.7551;1.4230;1.0335;-6.0616;5.73
90;360;0;-0.4000;0.6977;2734.8057;0.5042;0.8187;1.0126;-2.9064;5.83
91;364;0;-0.4000;0.6820;2681.5291;0.5095;0.8086;0.9897;-2.9137;5.92
92;368;0;-0.4000;0.9246;2678.0842;0.5652;0.9609;0.9653;-2.9212;6.01
93;372;0;-0.4000;1.1697;2589.0979;0.6231;1.0779;0.9406;-3.2256;6.10
94;376;0;-0.4000;0.6958;2622.0125;0.4513;0.8304;0.9186;-3.2355;6.19
95;380;0;-0.4000;2.0494;2534.8169;0.7789;1.4264;0.9123;-5.8931;6.28
96;384;0;-0.4000;0.3735;2435.6289;0.3534;0.5846;0.9018;-2.6067;6.37
97;388;0;-0.4000;1.6930;2491.4314;0.6096;1.2965;0.8891;-5.8209;6.46
98;392;0;-0.4000;1.3885;2474.7737;0.4955;1.1778;0.8859;-5.7700;6.55
99;396;0;-0.4000;0.1913;2390.7903;0.2888;0.3345;0.9084;-0.0144;6.64
100;400;0;-0.4000;1.8763;2348.6138;0.6932;1.3583;0.9112;-5.6395;6.73
101;404;0;-0.4000;1.2720;2324.3926;0.6002;1.1179;0.9193;-3.3358;6.83
102;408;0;-0.4000;1.4851;2306.5779;0.5232;1.2093;0.9186;-5.5274;6.92
