Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.2383;15810.5479;0.6950;1.4679;0.4026;-6.3577;0.55
33;132;0;-0.4000;2.2551;15791.8887;0.6807;1.4693;0.4003;-6.3503;0.64
34;136;0;-0.4000;1.9057;15805.2598;0.5973;1.3679;0.3757;-6.3130;0.73
35;140;0;-0.4000;2.1790;16037.7363;0.6882;1.4487;0.3572;-6.2791;0.82
36;144;0;-0.4000;1.8621;15774.1455;0.6137;1.3554;0.3423;-6.2506;0.91
37;148;0;-0.4000;1.8468;15775.4844;0.6200;1.3511;0.3308;-6.2264;1.00
38;152;0;-0.4000;0.9140;16081.6787;0.5244;0.9552;0.3264;-3.0177;1.08
39;156;0;-0.4000;2.0941;15885.9756;0.7089;1.4279;0.3419;-6.1863;1.17
40;160;0;-0.4000;1.2788;15656.4385;0.4757;1.1272;0.3587;-6.1701;1.26
41;164;0;-0.4000;1.8057;15543.5127;0.6472;1.3398;0.3758;-6.1531;1.35
42;168;0;-0.4000;1.7844;15452.8613;0.6233;1.3301;0.3952;-6.1339;1.44
43;172;0;2.8680;1.7829;15506.3447;0.6317;1.3305;0.4163;-6.1130;1.52
44;176;0;-0.4000;2.2686;15062.1328;0.7687;1.4693;0.4367;-6.0925;1.61
45;180;0;-0.4000;2.0045;14793.2070;0.7052;1.4003;0.4601;-6.0694;1.70
46;184;0;-0.4000;0.8794;14787.9873;0.5716;0.9368;0.4847;-2.8435;1.79
47;188;0;-0.4000;2.2247;14002.0312;0.7971;1.4652;0.5039;-6.0259;1.88
48;192;0;-0.4000;1.5054;13522.0293;0.5613;1.2269;0.5239;-6.0058;1.97
49;196;0;-0.4000;0.8285;12945.7363;0.5211;0.9102;0.5470;-2.7970;2.06
50;200;0;-0.4000;0.8150;11961.3115;0.5110;0.9027;0.5798;-2.7760;2.14
51;204;0;-0.4000;0.6496;10753.0977;0.5247;0.7879;0.6131;-2.7554;2.23
52;208;0;-0.4000;0.8284;9732.1748;0.5501;0.9096;0.6452;-2.7402;2.32
53;212;0;-0.4000;0.6330;8224.3623;0.5010;0.7807;0.6791;-2.7278;2.41
54;216;0;-0.4000;1.7113;7073.9399;0.6375;1.3055;0.7035;-5.9424;2.50
55;220;0;-0.4000;1.9344;6479.7100;0.7409;1.3840;0.7250;-5.9411;2.59
56;224;0;-0.4000;0.5609;6471.1357;0.4225;0.7458;0.7482;-2.5198;2.67
57;228;0;-0.4000;1.9124;7008.0171;0.7697;1.3791;0.7700;-5.9331;2.76
58;232;0;-0.4000;0.7889;6316.9971;0.5265;0.8882;0.7808;-2.6934;2.85
59;236;0;-0.4000;1.6976;5514.6714;0.6008;1.2973;0.7474;-5.9653;2.94
60;240;0;-0.4000;0.3885;5717.0508;0.4015;0.5773;0.6434;-2.6246;3.03
61;244;0;-0.4000;1.7694;5129.0332;0.6841;1.3297;0.6048;-6.0602;3.12
62;248;0;-0.4000;1.9366;4623.5200;0.6937;1.3796;0.6566;-6.0362;3.21
63;252;0;-0.4000;0.8004;4409.2949;0.5082;0.8945;0.7115;-2.7469;3.30
64;256;0;-0.4000;1.7513;4412.8442;0.6643;1.3226;0.7540;-5.9955;3.39
65;260;0;-0.4000;0.5843;3929.4722;0.4583;0.7525;0.7663;-2.5017;3.47
66;264;0;-0.4000;1.8861;3974.6174;0.6483;1.3552;0.7643;-5.9982;3.56
67;268;0;-0.4000;1.7266;3853.0479;0.6233;1.3111;0.7587;-6.0025;3.65
68;272;0;-0.4000;0.9893;3658.1389;0.5831;0.9927;0.7481;-2.7501;3.74
69;276;0;-0.4000;0.5537;3518.7036;0.4208;0.7367;0.7599;-2.5081;3.83
70;280;0;-0.4000;0.6521;3498.3350;0.5162;0.7868;0.7904;-2.7531;3.92
71;284;0;-0.4000;1.5430;3540.6960;0.5950;1.2412;0.8239;-6.0038;4.00
72;288;0;-0.4000;0.2799;3214.9895;0.3988;0.3690;0.8387;-0.0395;4.09
73;292;0;-0.4000;1.4467;3269.3171;0.4923;1.2015;0.8226;-6.0142;4.18
74;296;0;-0.4000;1.8118;3105.9666;0.7152;1.3460;0.8018;-6.0284;4.27
75;300;0;-0.4000;2.2090;3040.0530;0.8636;1.4777;0.7703;-6.0453;4.36
76;304;0;-0.4000;0.3954;2871.5466;0.4050;0.5779;0.7573;-2.5110;4.45
77;308;0;-0.4000;0.5550;2939.7488;0.4384;0.7347;0.7536;-2.5148;4.53
78;312;0;-0.4000;1.7874;2822.1128;0.6612;1.3357;0.7494;-6.0669;4.62
79;316;0;-0.4000;0.1436;2785.2551;0.2735;0.2641;0.7283;-0.0086;4.71
80;320;0;-0.4000;0.8542;2768.5771;0.5690;0.9221;0.7022;-2.9168;4.80
81;324;0;-0.4000;1.7511;2739.7312;0.6573;1.3224;0.6892;-6.1149;4.89
82;328;0;-0.4000;0.6726;2594.2571;0.5204;0.8020;0.6837;-2.9548;4.98
83;332;0;-0.4000;0.7373;2524.7654;0.4721;0.8585;0.6722;-2.5966;5.06
84;336;0;-0.4000;0.1553;2495.7471;0.2892;0.2731;0.6678;-0.0165;5.15
85;340;0;2.8680;1.5066;2487.3206;0.5061;1.2266;0.6532;-6.1426;5.24
86;344;0;-0.4000;0.1346;2409.5808;0.2673;0.2563;0.6429;-0.0196;5.33
87;348;0;-0.4000;1.8685;2441.3560;0.7025;1.3663;0.6294;-6.1604;5.42
88;352;0;-0.4000;0.9356;2478.8840;0.5301;0.9669;0.6105;-3.0760;5.51
89;356;0;2.8680;0.6306;2391.1423;0.3511;0.7933;0.5929;-3.2965;5.59
90;360;0;-0.4000;0.6505;2345.1482;0.4490;0.8026;0.5800;-3.0834;5.68
91;364;0;2.8680;1.8372;2338.7900;0.6300;1.3500;0.5601;-6.1633;5.77
92;368;0;-0.4000;0.6340;2260.1106;0.4312;0.7935;0.5358;-3.0796;5.86
93;372;0;-0.4000;0.8423;2235.7910;0.4565;0.9144;0.5260;-3.0727;5.95
94;376;0;-0.4000;0.6624;2165.2473;0.4138;0.8130;0.5253;-3.2573;6.04
95;380;0;-0.4000;0.6318;2209.2791;0.4262;0.7924;0.5082;-3.0552;6.13
96;384;0;-0.4000;0.3164;2121.9541;0.2917;0.5497;0.5038;-2.7639;6.22
97;388;0;-0.4000;1.1181;2210.3025;0.5712;1.0470;0.5039;-3.2110;6.31
98;392;0;-0.4000;1.1500;2070.2019;0.5474;1.0557;0.4981;-3.1930;6.40
99;396;0;-0.4000;0.7933;2108.8359;0.4649;0.8891;0.5006;-2.7677;6.49
100;400;0;-0.4000;2.3360;2004.7913;0.7807;1.4916;0.5208;-6.1392;6.58
101;404;0;-0.4000;2.0767;1978.5571;0.7011;1.4222;0.5414;-6.1335;6.67
102;408;0;-0.4000;0.8605;1953.3367;0.4985;0.9269;0.5523;-3.1119;6.75
103;412;0;-0.4000;1.9109;1943.5292;0.6292;1.3569;0.5626;-6.1140;6.84
104;416;0;-0.4000;1.5125;1881.5039;0.4549;1.2223;0.5862;-6.1046;6.93
105;420;0;2.8680;0.8883;2010.3716;0.5292;0.9423;0.6092;-3.0116;7.02
106;424;0;-0.4000;0.6095;1888.9746;0.4393;0.7775;0.6232;-3.0452;7.11
107;428;0;-0.4000;1.9533;1807.9082;0.6689;1.3749;0.6332;-6.0550;7.20
108;432;0;-0.4000;0.5516;1819.6080;0.4364;0.7379;0.6492;-2.6199;7.29
109;436;0;-0.4000;1.8443;1798.9095;0.6451;1.3353;0.6614;-5.9943;7.38
110;440;0;2.8680;1.7934;1818.4537;0.6347;1.3319;0.6815;-5.9612;7.46
111;444;0;-0.4000;0.8539;1745.0173;0.5524;0.9240;0.6941;-3.0047;7.56
112;448;0;-0.4000;0.6378;1709.9661;0.4671;0.7936;0.6993;-3.0574;7.65
113;452;0;-0.4000;1.5082;1742.3973;0.5819;1.2281;0.7035;-5.8537;7.74
114;456;0;2.8680;1.7615;1761.7450;0.7246;1.3272;0.6944;-5.8148;7.83
115;460;0;-0.4000;1.4540;1662.2494;0.5503;1.2057;0.6770;-5.7694;7.92
116;464;0;-0.4000;0.9515;1750.1639;0.5212;0.9739;0.6528;-3.0232;8.01
