Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.0398;16138.4893;0.6180;1.4150;0.4081;-6.4804;5.47
33;132;0;3.0364;2.2855;16133.2783;0.7114;1.4723;0.3936;-6.4695;5.58
34;136;0;-0.4000;2.2520;16104.6992;0.7331;1.4723;0.4012;-6.4383;5.67
35;140;0;-0.4000;1.9359;16094.3613;0.6566;1.3806;0.4551;-6.3813;5.76
36;144;0;-0.4000;1.8984;16106.5215;0.6409;1.3648;0.5006;-6.3159;5.84
37;148;0;-0.4000;0.4099;16408.1914;0.4053;0.6169;0.5570;-2.9295;5.93
38;152;0;-0.4000;2.1288;16332.0693;0.7295;1.4387;0.5590;-6.2314;6.02
39;156;0;-0.4000;0.9194;16349.8291;0.5651;0.9588;0.6135;-2.9447;6.11
40;160;0;-0.4000;1.8593;16261.3115;0.6871;1.3621;0.6660;-6.2007;6.20
41;164;0;-0.4000;1.8605;16398.5059;0.6696;1.3617;0.7342;-6.1981;6.29
42;168;0;-0.4000;1.8747;16314.3027;0.6889;1.3683;0.8038;-6.2028;6.37
43;172;0;-0.4000;1.6519;15966.3086;0.6356;1.2825;0.8508;-6.2009;6.46
44;176;0;-0.4000;1.6592;15890.8330;0.6392;1.2848;0.8919;-6.1985;6.55
45;180;0;-0.4000;1.6896;15503.2900;0.6453;1.2976;0.9201;-6.2108;6.64
46;184;0;-0.4000;0.8251;15458.3857;0.5232;0.9081;0.9237;-2.8447;6.73
47;188;0;-0.4000;1.8400;14787.4434;0.6912;1.3563;0.9478;-6.2380;6.82
48;192;0;-0.4000;0.7301;14915.3955;0.5527;0.8292;0.9763;-2.8412;8.66
49;196;0;-0.4000;0.4391;14155.1172;0.4410;0.6052;0.9821;-2.4553;8.75
50;200;0;-0.4000;0.7129;13616.9688;0.5314;0.8248;0.9812;-2.8501;8.84
51;204;0;-0.4000;1.9072;12453.8779;0.6659;1.3778;0.9611;-6.3843;8.93
52;208;0;-0.4000;1.6778;11471.8691;0.6138;1.2947;0.9464;-6.4041;9.02
53;212;0;-0.4000;0.8688;10557.8955;0.5732;0.9303;0.9344;-2.8718;9.11
54;216;0;-0.4000;2.2118;9292.6123;0.8348;1.4852;0.9224;-6.4377;9.20
55;220;0;-0.4000;0.9068;8666.1357;0.5941;0.9484;0.9114;-2.8981;9.29
56;224;0;3.0364;1.7977;8342.5430;0.6440;1.3399;0.8962;-6.4557;9.37
57;228;0;-0.4000;2.0291;8551.9365;0.7518;1.4245;0.8624;-6.4505;9.46
58;232;0;-0.4000;2.1771;8413.9912;0.7654;1.4672;0.8125;-6.4370;9.55
59;236;0;-0.4000;0.8975;7469.6665;0.5602;0.9468;0.7420;-2.9297;9.64
60;240;0;-0.4000;1.9311;6921.9028;0.6595;1.3854;0.6214;-6.4368;9.73
61;244;0;-0.4000;2.2314;6764.1851;0.7518;1.4789;0.5212;-6.4476;9.82
62;248;0;-0.4000;1.6823;6303.8301;0.5620;1.2963;0.5108;-6.4400;9.91
63;252;0;-0.4000;1.4226;5910.0225;0.4956;1.1900;0.5460;-6.4168;10.00
64;256;0;-0.4000;1.7028;5604.4292;0.6302;1.3044;0.5760;-6.3848;10.09
65;260;0;-0.4000;0.6876;5233.9233;0.4963;0.8215;0.5783;-2.9478;10.17
66;264;0;-0.4000;0.9769;4913.1372;0.6315;0.9857;0.5593;-2.9544;10.26
67;268;0;-0.4000;0.4354;4627.4707;0.4334;0.6189;0.5467;-2.8980;10.35
68;272;0;-0.4000;1.9423;4438.9585;0.6592;1.3878;0.5335;-6.3596;10.44
69;276;0;-0.4000;1.6557;4078.3657;0.5460;1.2856;0.5249;-6.3637;10.53
70;280;0;-0.4000;1.6731;3990.3589;0.5842;1.2935;0.5258;-6.3589;10.62
71;284;0;-0.4000;1.1827;3640.6882;0.5852;1.0754;0.5321;-2.9866;10.71
72;288;0;-0.4000;0.4151;3385.8066;0.3874;0.6132;0.5357;-2.9014;10.80
73;292;0;3.0364;1.2025;3300.1304;0.6366;1.0922;0.5427;-2.9929;10.89
74;296;0;-0.4000;1.2299;3159.4692;0.6758;1.1075;0.5579;-2.9969;10.98
75;300;0;-0.4000;1.9400;3290.6714;0.6547;1.3885;0.5701;-6.3897;11.07
76;304;0;-0.4000;1.9410;3118.4961;0.6246;1.3859;0.5787;-6.3963;11.15
77;308;0;-0.4000;1.9403;3091.1885;0.6421;1.3874;0.5850;-6.3946;11.24
78;312;0;-0.4000;0.6725;3088.5903;0.4284;0.8184;0.5955;-2.9957;11.33
79;316;0;-0.4000;0.7120;3017.1462;0.4903;0.8358;0.6046;-2.9867;11.42
80;320;0;-0.4000;2.1717;3070.1423;0.7103;1.4547;0.6041;-6.3785;11.51
81;324;0;3.0364;1.0135;2853.7114;0.5247;1.0050;0.6061;-3.4518;11.60
82;328;0;-0.4000;1.4276;2838.2454;0.5393;1.1864;0.6070;-6.3452;11.69
