Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.0508;16081.6270;0.6342;1.4217;0.4026;-6.5985;0.56
33;132;0;-0.4000;2.0338;16078.3301;0.6330;1.4162;0.3971;-6.5864;0.64
34;136;0;-0.4000;2.0208;16068.1172;0.6439;1.4134;0.4023;-6.5464;0.73
35;140;0;-0.4000;0.6871;16381.6592;0.4551;0.8259;0.4194;-3.1008;0.82
36;144;0;-0.4000;2.0002;16304.3408;0.6483;1.4072;0.4294;-6.4949;0.91
37;148;0;-0.4000;1.9901;16005.3857;0.6515;1.4044;0.4541;-6.4729;1.00
38;152;0;-0.4000;1.6955;16016.9307;0.5663;1.3019;0.4792;-6.4473;1.09
39;156;0;3.0722;1.0370;16287.3115;0.5388;1.0171;0.5079;-3.4186;1.18
40;160;0;-0.4000;2.3341;16354.0098;0.7708;1.5122;0.5249;-6.4041;1.27
41;164;0;-0.4000;2.0197;15821.1914;0.6495;1.4137;0.5493;-6.3805;1.36
42;168;0;3.0722;0.4526;16100.2607;0.4266;0.6298;0.5775;-3.0406;1.45
43;172;0;-0.4000;2.6363;15716.0498;0.8453;1.5871;0.5884;-6.3438;1.54
44;176;0;-0.4000;1.9538;15910.4805;0.6960;1.3958;0.6076;-6.3260;1.63
45;180;0;-0.4000;2.0156;15422.1602;0.7222;1.4181;0.6299;-6.3047;1.72
46;184;0;-0.4000;2.0372;15107.0215;0.7462;1.4265;0.6516;-6.2837;1.81
47;188;0;3.0722;1.3742;15035.9014;0.7068;1.1689;0.6790;-3.2642;1.90
48;192;0;-0.4000;1.3758;14362.7256;0.7222;1.1704;0.6950;-3.2359;2.00
49;196;0;-0.4000;1.7005;13874.1172;0.8387;1.2948;0.7031;-3.1999;2.09
50;200;0;-0.4000;2.2735;12775.2812;0.7962;1.4931;0.7035;-6.2324;2.18
51;204;0;3.0722;2.5441;11988.6348;0.9286;1.5764;0.7149;-6.2217;2.27
52;208;0;-0.4000;0.8290;11218.5205;0.6074;0.8920;0.7292;-3.0853;2.36
53;212;0;-0.4000;1.3103;10015.9531;0.7365;1.1437;0.7331;-3.0522;2.45
54;216;0;-0.4000;2.2489;9027.3887;0.8270;1.4890;0.7322;-6.2046;2.54
55;220;0;-0.4000;1.0224;8339.9580;0.6271;1.0111;0.7349;-3.0187;2.63
56;224;0;3.0722;1.6892;8025.6382;0.8570;1.2926;0.7330;-3.5609;2.72
57;228;0;-0.4000;1.4494;8183.5879;0.8371;1.2027;0.7271;-3.5555;2.81
58;232;0;-0.4000;2.2458;8173.6392;0.8700;1.4956;0.7050;-6.2319;2.90
59;236;0;-0.4000;2.8251;7195.0322;1.0570;1.6587;0.6744;-6.2621;2.99
60;240;0;-0.4000;2.6041;6529.7803;0.9195;1.5944;0.6208;-6.3155;3.08
61;244;0;-0.4000;1.9128;6398.3555;0.8789;1.3565;0.5735;-3.4546;3.17
62;248;0;3.0722;1.2891;5947.7163;0.7287;1.1352;0.5655;-3.0618;3.27
63;252;0;-0.4000;2.9197;5458.1016;1.0059;1.6714;0.5742;-6.3638;3.36
64;256;0;-0.4000;1.8678;5064.2144;0.9463;1.3562;0.5989;-3.0513;3.45
65;260;0;-0.4000;1.6531;4949.6060;0.8710;1.2839;0.6326;-3.4143;3.54
66;264;0;3.0722;1.0675;4694.1118;0.7125;1.0207;0.6602;-3.0095;3.63
67;268;0;-0.4000;2.5312;4684.5288;0.9966;1.5870;0.6675;-6.3267;3.73
68;272;0;-0.4000;1.2190;4071.9468;0.8074;1.0809;0.6706;-3.3700;3.82
69;276;0;3.0722;2.8483;4217.3198;1.0624;1.6687;0.6612;-6.3595;3.91
70;280;0;-0.4000;1.3865;3885.2505;0.8336;1.1741;0.6653;-3.3370;4.00
71;284;0;-0.4000;1.5245;3814.0752;0.8875;1.2347;0.6722;-2.9271;4.09
72;288;0;3.0722;2.8176;3718.2646;1.0793;1.6642;0.6959;-6.3846;4.18
73;292;0;-0.4000;2.8926;3712.0208;1.0925;1.6860;0.7327;-6.3833;4.28
74;296;0;-0.4000;1.3534;3531.7561;0.8421;1.1574;0.7420;-3.2832;4.37
75;300;0;-0.4000;1.8449;3375.9758;0.9989;1.3558;0.7381;-3.2668;4.46
76;304;0;-0.4000;1.6227;3218.4441;0.9507;1.2728;0.7549;-3.2494;4.55
77;308;0;-0.4000;2.5327;3377.3040;1.0009;1.5886;0.7584;-6.4361;4.64
78;312;0;-0.4000;2.9201;3333.3762;1.1456;1.7019;0.7613;-6.4534;4.73
79;316;0;-0.4000;2.8459;3253.4922;1.1307;1.6808;0.7594;-6.4700;4.83
80;320;0;-0.4000;1.4927;3121.0999;0.9403;1.2183;0.7628;-2.7218;4.92
81;324;0;3.0722;1.6963;3005.3296;0.9885;1.3002;0.7751;-3.1720;5.01
82;328;0;-0.4000;1.5210;2998.0623;0.9325;1.2315;0.7831;-2.8740;5.10
83;332;0;-0.4000;1.2951;2939.0125;0.8460;1.1292;0.7872;-2.9735;5.19
84;336;0;-0.4000;2.4386;2920.9844;1.0148;1.5595;0.7940;-6.5415;5.28
85;340;0;-0.4000;2.1105;2772.9507;1.0899;1.4427;0.7831;-3.1479;5.38
86;344;0;-0.4000;3.1527;2796.0178;1.2297;1.7601;0.7690;-6.5309;5.47
87;348;0;-0.4000;2.4054;2748.7185;0.9744;1.5506;0.7543;-6.5098;5.56
88;352;0;-0.4000;1.2766;2590.0054;0.8396;1.1217;0.7409;-2.8760;5.65
89;356;0;-0.4000;1.8990;2613.9392;1.0034;1.3742;0.7208;-3.1482;5.74
90;360;0;-0.4000;1.3223;2519.8198;0.8518;1.1421;0.6948;-2.9497;5.84
91;364;0;3.0722;1.5264;2552.6575;0.9050;1.2354;0.6709;-3.0136;5.93
92;368;0;-0.4000;1.3499;2550.8093;0.8312;1.1582;0.6813;-3.0019;6.02
93;372;0;-0.4000;2.0165;2513.9995;0.8111;1.4192;0.6838;-6.3772;6.11
94;376;0;-0.4000;1.7663;2562.6753;0.9242;1.3191;0.6875;-3.0386;6.20
95;380;0;-0.4000;1.5190;2459.1667;0.8225;1.2289;0.6935;-3.1667;6.30
96;384;0;-0.4000;3.2168;2386.8784;1.1661;1.7270;0.7035;-6.3184;6.39
97;388;0;-0.4000;1.2528;2320.0918;0.7620;1.1187;0.7207;-3.0857;6.48
98;392;0;-0.4000;2.4766;2338.0710;0.9306;1.5621;0.7368;-6.2715;6.57
99;396;0;-0.4000;1.4980;2352.0884;0.8340;1.2220;0.7498;-3.1891;6.66
100;400;0;-0.4000;1.5712;2282.5618;0.8733;1.2527;0.7909;-3.0940;6.75
101;404;0;-0.4000;1.8616;2278.9646;0.9334;1.3522;0.8251;-3.0828;6.85
102;408;0;-0.4000;1.1403;2283.4683;0.7276;1.0578;0.8398;-3.1592;6.94
103;412;0;3.0722;1.0381;2214.4031;0.7128;1.0052;0.8564;-3.0628;7.03
104;416;0;-0.4000;1.5900;2183.7278;0.9171;1.2578;0.8826;-2.8647;7.12
105;420;0;-0.4000;0.4215;2177.0759;0.5093;0.5474;0.9083;-2.5638;7.21
106;424;0;-0.4000;0.9322;2186.1172;0.7110;0.9420;0.9190;-2.8798;7.31
107;428;0;-0.4000;1.7296;2185.7947;0.9576;1.3128;0.9300;-3.1647;7.40
108;432;0;3.0722;2.7943;2076.4949;1.0630;1.6328;0.9503;-6.0730;7.49
109;436;0;-0.4000;2.2422;2065.4229;0.8838;1.4959;0.9746;-6.0445;7.58
