Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.2136;15936.3555;0.6654;1.4777;0.4077;-6.8377;0.64
33;132;0;-0.4000;2.1891;16047.0928;0.6105;1.4621;0.3899;-6.8162;0.73
34;136;0;-0.4000;2.1541;15916.5527;0.6364;1.4552;0.3919;-6.7503;0.82
35;140;0;-0.4000;2.1106;15893.4629;0.6177;1.4386;0.3997;-6.6961;0.91
36;144;0;3.1461;2.4208;16170.0684;0.7312;1.5292;0.4409;-6.6483;1.00
37;148;0;-0.4000;2.3930;15902.5898;0.7165;1.5181;0.4773;-6.6096;1.09
38;152;0;-0.4000;2.3738;15917.7266;0.7116;1.5118;0.5146;-6.5733;1.18
39;156;0;-0.4000;2.3584;15842.5000;0.7224;1.5097;0.5519;-6.5355;1.26
40;160;0;3.1461;2.3785;15828.2656;0.7302;1.5164;0.5966;-6.4920;1.35
41;164;0;-0.4000;2.3207;15907.6514;0.7250;1.4999;0.6385;-6.4502;1.44
42;168;0;-0.4000;2.6094;15695.2578;0.8474;1.5801;0.6834;-6.4061;1.53
43;172;0;-0.4000;2.3378;15706.7793;0.7384;1.5053;0.7270;-6.3624;1.62
44;176;0;3.1461;2.8194;15461.2783;0.9250;1.6231;0.7673;-6.3222;1.71
45;180;0;-0.4000;2.2706;15313.9043;0.7970;1.4959;0.8183;-6.2720;1.80
46;184;0;-0.4000;1.9436;15073.4014;0.7335;1.3936;0.8677;-6.2228;1.89
47;188;0;-0.4000;1.3255;15106.3086;0.7063;1.1490;0.9189;-3.2008;1.98
48;192;0;-0.4000;1.0014;14689.5527;0.6047;1.0005;0.9672;-3.1591;2.07
49;196;0;-0.4000;2.1418;14032.5713;0.7838;1.4527;1.0131;-6.0786;2.16
50;200;0;-0.4000;2.1653;13297.4258;0.8134;1.4647;1.0630;-6.0288;2.25
51;204;0;-0.4000;0.7216;12690.7998;0.5517;0.8311;1.1150;-3.1590;2.34
52;208;0;3.1461;2.5387;11486.2451;0.9299;1.5553;1.1619;-5.9299;2.43
53;212;0;-0.4000;1.0614;10686.6699;0.6734;1.0230;1.2159;-3.1329;2.52
54;216;0;-0.4000;2.5689;9574.1641;0.9738;1.5929;1.2597;-5.8322;2.61
55;220;0;-0.4000;1.9376;8522.5957;0.7731;1.3901;1.3049;-5.7870;2.70
56;224;0;-0.4000;0.6838;8102.4878;0.5817;0.7697;1.3558;-2.1904;2.80
57;228;0;-0.4000;1.6644;8017.7769;0.8248;1.2875;1.3958;-3.2121;2.89
58;232;0;-0.4000;2.2137;8192.7793;0.9233;1.4869;1.4237;-5.6684;2.98
59;236;0;-0.4000;1.2116;7691.3613;0.6701;1.0977;1.4247;-3.2495;3.08
60;240;0;-0.4000;0.8631;6739.1328;0.6064;0.8848;1.3416;-2.9669;3.17
61;244;0;-0.4000;2.4073;6920.6450;0.9218;1.5450;1.1379;-5.9397;3.26
62;248;0;-0.4000;2.2055;6228.5308;0.8186;1.4813;1.0783;-6.0033;3.37
63;252;0;-0.4000;0.8625;5760.7739;0.6361;0.8785;1.1647;-2.9749;3.46
64;256;0;-0.4000;1.3767;5408.6733;0.7092;1.1728;1.2103;-3.3131;3.56
65;260;0;-0.4000;1.5445;5296.2710;0.6379;1.2363;1.2264;-5.8657;3.66
66;264;0;-0.4000;1.3041;4984.3096;0.7471;1.1400;1.2204;-3.3125;3.76
67;268;0;-0.4000;1.3998;4650.5327;0.7227;1.1829;1.1911;-3.3451;3.86
68;272;0;-0.4000;2.2228;4609.7109;0.8172;1.4748;1.1536;-5.9390;3.96
69;276;0;-0.4000;1.3639;4390.5107;0.5123;1.1595;1.1336;-5.9595;4.05
70;280;0;-0.4000;1.0476;4222.7949;0.5855;1.0227;1.1245;-3.3783;4.15
71;284;0;-0.4000;2.1107;4024.9966;0.7692;1.4480;1.1263;-5.9692;4.25
72;288;0;-0.4000;0.8691;3728.6277;0.5605;0.9111;1.1424;-3.3889;4.35
73;292;0;3.1461;1.8120;3873.9143;0.6893;1.3424;1.1544;-5.9434;4.45
74;296;0;-0.4000;2.6667;3945.0935;1.0000;1.6146;1.1582;-5.9407;4.54
75;300;0;-0.4000;0.8903;3418.3569;0.5872;0.9185;1.1549;-3.3894;4.64
76;304;0;-0.4000;1.0197;3373.7083;0.5786;1.0001;1.1359;-3.3872;4.74
77;308;0;-0.4000;1.2005;3360.1514;0.7258;1.0942;1.1094;-2.8564;4.83
78;312;0;-0.4000;2.1149;3639.3196;0.7237;1.4395;1.0867;-6.0163;4.93
79;316;0;-0.4000;1.0778;3264.9028;0.5619;1.0378;1.0714;-3.3802;5.03
80;320;0;-0.4000;2.1268;3437.6602;0.7586;1.4505;1.0569;-6.0499;5.13
81;324;0;-0.4000;2.2537;3343.5818;0.8815;1.5010;1.0508;-6.0599;5.23
82;328;0;-0.4000;2.0618;3399.1782;0.7541;1.4357;1.0472;-6.0706;5.34
83;332;0;-0.4000;0.6032;3159.2798;0.4652;0.7630;1.0423;-2.5039;5.44
84;336;0;-0.4000;1.6339;3050.4299;0.6102;1.2767;1.0417;-6.1098;5.55
85;340;0;3.1461;0.9862;2839.8845;0.6057;0.9897;1.0451;-3.2982;5.65
86;344;0;-0.4000;0.4501;2841.2019;0.4254;0.6162;1.0475;-2.4988;5.76
87;348;0;-0.4000;2.3917;2858.2385;0.8441;1.5297;1.0418;-6.2061;5.87
88;352;0;-0.4000;1.9352;2791.4219;0.6845;1.3903;1.0263;-6.2495;5.98
89;356;0;-0.4000;0.3680;2623.7612;0.4350;0.4228;1.0310;0.0027;6.09
90;360;0;-0.4000;0.4697;2575.5520;0.3853;0.6550;1.0365;-2.9370;6.19
91;364;0;-0.4000;1.7913;2506.9739;0.8384;1.3323;1.0180;-3.3839;6.30
92;368;0;-0.4000;2.1553;2528.8875;0.7602;1.4680;0.9895;-6.4148;6.41
93;372;0;-0.4000;1.1482;2544.9656;0.6208;1.0707;0.9658;-3.3848;6.51
94;376;0;-0.4000;1.9363;2473.7612;0.9274;1.3788;0.9500;-3.3812;6.62
95;380;0;-0.4000;1.4819;2431.2734;0.7300;1.2162;0.9381;-3.3747;6.73
96;384;0;-0.4000;1.9673;2373.0903;0.6946;1.4020;0.9199;-6.4934;6.84
97;388;0;-0.4000;0.8849;2276.8003;0.5707;0.9234;0.9015;-3.2391;6.95
98;392;0;-0.4000;0.4984;2322.6184;0.4916;0.6269;0.8751;-2.6711;7.06
99;396;0;-0.4000;2.5069;2278.4978;0.8236;1.5722;0.8466;-6.5448;7.17
100;400;0;-0.4000;1.3031;2223.8367;0.6590;1.1379;0.8233;-3.3570;7.28
101;404;0;-0.4000;0.7309;2252.7893;0.5115;0.8421;0.8060;-3.0788;7.39
102;408;0;-0.4000;0.8349;2242.8157;0.5918;0.8902;0.7881;-3.0875;7.51
103;412;0;-0.4000;2.9950;2222.7246;0.9823;1.6887;0.7649;-6.6008;7.62
104;416;0;-0.4000;2.1521;2165.3994;0.7719;1.4670;0.7441;-6.5979;7.73
105;420;0;-0.4000;1.9540;2065.6411;0.9094;1.3770;0.7221;-3.3449;7.85
106;424;0;-0.4000;2.6449;2061.1550;0.8879;1.6039;0.7043;-6.6108;7.96
107;428;0;-0.4000;2.1770;2065.2063;0.7175;1.4722;0.6934;-6.6162;8.08
108;432;0;-0.4000;0.7173;1961.8372;0.5173;0.8348;0.6830;-3.1305;8.19
109;436;0;-0.4000;1.0749;2093.3232;0.6127;1.0364;0.6719;-3.3296;8.31
110;440;0;-0.4000;1.8306;2598.9722;0.6137;1.3530;0.6532;-6.6405;8.43
111;444;0;-0.4000;2.1036;1995.7971;0.6581;1.4433;0.6501;-6.6065;8.55
112;448;0;-0.4000;1.0326;2039.1742;0.6141;1.0152;0.6498;-3.1207;8.66
113;452;0;-0.4000;0.9785;1923.5386;0.5710;0.9891;0.6340;-3.1015;8.78
114;456;0;-0.4000;0.1924;1953.2728;0.3821;0.2153;0.6144;0.0122;8.90
115;460;0;-0.4000;0.7208;1868.8789;0.5013;0.8402;0.5901;-3.1151;9.02
116;464;0;-0.4000;0.5386;1938.5573;0.4803;0.6817;0.5771;-3.3349;9.14
117;468;0;-0.4000;0.7649;1803.0807;0.5347;0.8626;0.5648;-3.1250;9.26
118;472;0;-0.4000;0.9974;1778.3114;0.5409;0.9980;0.5510;-3.1272;9.38
119;476;0;-0.4000;0.7566;1905.2944;0.4963;0.8641;0.5437;-3.3413;9.50
120;480;0;-0.4000;0.7157;1782.5735;0.4904;0.8392;0.5353;-3.1256;9.61
121;484;0;-0.4000;0.1235;1880.7577;0.2968;0.1883;0.5237;0.0202;9.73
122;488;0;-0.4000;0.7987;1694.1074;0.5166;0.8868;0.5085;-3.3496;9.85
123;492;0;-0.4000;1.7867;2038.1545;0.6191;1.3366;0.4916;-6.5972;9.96
124;496;0;-0.4000;0.1349;1659.1166;0.3310;0.1592;0.4780;0.0279;10.08
125;500;0;-0.4000;0.7560;1790.0488;0.4767;0.8662;0.4732;-3.3569;10.20
126;504;0;-0.4000;1.2901;1705.4939;0.6298;1.1265;0.4634;-3.1532;10.31
127;508;0;-0.4000;0.6985;1664.8098;0.4614;0.8324;0.4495;-3.0972;10.43
128;512;0;-0.4000;0.7132;1542.5905;0.4587;0.8419;0.4449;-3.1719;10.54
129;516;0;-0.4000;1.0518;1544.7214;0.5268;1.0228;0.4421;-3.3671;10.66
130;520;0;3.1461;0.7707;1609.4135;0.4791;0.8751;0.4374;-3.3691;10.77
131;524;0;-0.4000;1.3374;1491.3569;0.6317;1.1454;0.4288;-3.1791;10.89
132;528;0;-0.4000;1.3199;1486.3347;0.6115;1.1352;0.4212;-3.1836;11.00
133;532;0;-0.4000;0.7663;1486.4948;0.4676;0.8735;0.4213;-3.3716;11.12
134;536;0;-0.4000;1.0276;1458.3253;0.5661;1.0134;0.4193;-3.1778;11.23
135;540;0;-0.4000;1.7306;1455.8517;0.5610;1.3148;0.4161;-6.5074;11.35
136;544;0;3.1461;1.7011;1428.5963;0.5155;1.3013;0.4130;-6.4825;11.47
137;548;0;-0.4000;1.3924;1452.3436;0.4653;1.1783;0.4142;-6.4334;11.58
138;552;0;-0.4000;1.9641;1477.1763;0.6159;1.3905;0.4045;-6.3739;11.69
139;556;0;-0.4000;0.7069;1514.8966;0.4458;0.8391;0.4040;-3.1427;11.81
140;560;0;-0.4000;1.9613;1441.8794;0.6328;1.3907;0.4115;-6.2528;11.92
141;564;0;-0.4000;2.2634;1346.1886;0.7157;1.4780;0.4243;-6.1920;12.03
142;568;0;-0.4000;1.6673;1297.0063;0.7242;1.2626;0.4379;-3.3765;12.15
143;572;0;-0.4000;1.5512;1293.1895;0.5608;1.2454;0.4555;-6.0301;12.26
144;576;0;-0.4000;1.8467;1363.0050;0.6036;1.3473;0.4693;-5.9283;12.37
145;580;0;-0.4000;0.7519;1369.6776;0.4325;0.8668;0.4774;-3.3635;12.48
146;584;0;-0.4000;0.3993;1322.8002;0.3782;0.6064;0.4790;-3.0681;12.60
