Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.7447;0.0000;0.8335;1.6387;0.4020;-7.0881;0.50
33;132;0;-0.4000;2.7215;0.0000;0.7633;1.6191;0.4014;-7.0859;0.55
34;136;0;-0.4000;2.6915;0.0000;0.7854;1.6162;0.4609;-7.0490;0.59
35;140;0;-0.4000;2.6527;0.0000;0.7797;1.6051;0.5304;-7.0188;0.64
36;144;0;3.3453;3.0093;0.0000;0.8719;1.6888;0.6068;-6.9810;0.68
37;148;0;-0.4000;2.5846;0.0000;0.8030;1.5918;0.6812;-6.9199;0.72
38;152;0;-0.4000;2.6751;0.0000;0.8464;1.6225;0.7087;-6.8547;0.77
39;156;0;-0.4000;2.9068;0.0000;0.8973;1.6704;0.6697;-6.8090;0.81
40;160;0;-0.4000;2.8873;0.0000;0.9213;1.6709;0.6981;-6.7575;0.85
41;164;0;-0.4000;2.8283;0.0000;0.8869;1.6483;0.7172;-6.7132;0.90
42;168;0;-0.4000;1.4487;0.0000;0.7184;1.2012;0.7645;-3.4342;0.94
43;172;0;-0.4000;1.0468;0.0000;0.5885;1.0231;0.7757;-3.4126;0.99
44;176;0;-0.4000;2.4994;0.0000;0.8070;1.5662;0.8498;-6.6082;1.03
45;180;0;-0.4000;1.1770;0.0000;0.6454;1.0844;0.8798;-3.3951;1.07
46;184;0;-0.4000;2.0536;0.0000;0.7333;1.4324;0.8812;-6.5316;1.12
47;188;0;-0.4000;2.6574;0.0000;0.8406;1.5908;0.8371;-6.4869;1.16
48;192;0;-0.4000;2.7325;0.0000;0.9462;1.6347;0.9073;-6.4352;1.21
49;196;0;3.3453;2.1113;0.0000;0.7923;1.4530;0.9271;-6.3810;1.25
50;200;0;-0.4000;1.5512;0.0000;0.8000;1.2454;0.9201;-3.3352;1.29
51;204;0;-0.4000;2.1253;0.0000;0.7794;1.4574;0.8813;-6.2778;1.34
52;208;0;-0.4000;0.7972;0.0000;0.5513;0.8783;0.8030;-3.2657;1.38
53;212;0;-0.4000;2.3791;0.0000;0.8269;1.5321;0.7189;-6.1899;1.42
54;216;0;-0.4000;2.0228;0.0000;0.7463;1.4213;0.6262;-6.1419;1.47
55;220;0;3.3453;1.7967;0.0000;0.8277;1.3270;0.5507;-3.4846;1.51
56;224;0;-0.4000;2.2187;0.0000;0.8024;1.4800;0.5858;-6.0135;1.56
