Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.0398;0.0000;0.6180;1.4150;0.4081;-6.4804;0.83
33;132;0;3.0364;2.2884;0.0000;0.7154;1.4739;0.4036;-6.4650;0.90
34;136;0;-0.4000;2.2513;0.0000;0.7373;1.4726;0.4074;-6.4331;0.94
35;140;0;-0.4000;1.9280;0.0000;0.6514;1.3772;0.4692;-6.3816;0.99
36;144;0;-0.4000;1.8763;0.0000;0.6244;1.3544;0.5280;-6.3117;1.03
37;148;0;-0.4000;0.3758;0.0000;0.3682;0.5964;0.5581;-2.8792;1.08
38;152;0;-0.4000;2.0579;0.0000;0.6682;1.4078;0.5492;-6.1610;1.13
39;156;0;-0.4000;0.8734;0.0000;0.4984;0.9334;0.5920;-2.8871;1.17
40;160;0;-0.4000;1.7214;0.0000;0.6004;1.3063;0.6602;-6.0095;1.21
41;164;0;-0.4000;1.6859;0.0000;0.5835;1.2912;0.7299;-5.9298;1.26
42;168;0;-0.4000;1.6663;0.0000;0.5905;1.2850;0.7587;-5.8510;1.30
43;172;0;-0.4000;1.3968;0.0000;0.5100;1.1813;0.7318;-5.7699;1.35
44;176;0;-0.4000;1.3589;0.0000;0.4874;1.1643;0.6475;-5.6797;1.39
45;180;0;-0.4000;1.3174;0.0000;0.4667;1.1431;0.5413;-5.5850;1.43
46;184;0;-0.4000;0.8796;0.0000;0.4335;0.9217;0.4896;-2.9828;1.48
47;188;0;-0.4000;1.4907;0.0000;0.5305;1.2042;0.5882;-5.3867;1.52
48;192;0;-0.4000;0.6350;0.0000;0.4168;0.7951;0.7226;-2.9221;1.64
49;196;0;-0.4000;0.3354;0.0000;0.2946;0.5681;0.7851;-2.6492;1.68
50;200;0;-0.4000;0.6393;0.0000;0.4171;0.7965;0.8264;-2.9112;1.72
51;204;0;-0.4000;1.3878;0.0000;0.5290;1.1703;0.8252;-5.0476;1.77
52;208;0;-0.4000;1.0886;0.0000;0.4480;1.0430;0.8156;-4.9320;1.81
