Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.4743;1.2221;0.7939;1.5301;0.4032;-6.3175;1.53
33;132;0;-0.4000;2.3127;1.0371;0.8366;1.4972;0.4070;-6.1415;1.59
34;136;0;-0.4000;2.2804;0.8637;0.8294;1.4870;0.4557;-6.1235;1.66
35;140;0;-0.4000;2.2429;0.6840;0.8166;1.4743;0.5128;-6.0965;1.74
36;144;0;-0.4000;1.9419;0.5857;0.7242;1.3843;0.5651;-6.0648;1.81
37;148;0;-0.4000;2.1560;0.5590;0.7924;1.4449;0.6152;-6.0009;1.89
38;152;0;-0.4000;1.7349;0.5820;0.6913;1.3169;0.6534;-5.9225;1.96
39;156;0;-0.4000;1.9267;0.5806;0.7413;1.3813;0.6544;-5.8778;2.03
40;160;0;-0.4000;1.9084;0.5275;0.7486;1.3760;0.7001;-5.8276;2.11
41;164;0;-0.4000;1.8914;0.4742;0.7782;1.3727;0.7443;-5.7703;2.19
42;168;0;-0.4000;1.8683;0.4348;0.7656;1.3637;0.7791;-5.7283;2.26
43;172;0;2.8573;2.0559;0.4121;0.8302;1.4214;0.7995;-5.6793;2.33
44;176;0;-0.4000;2.0903;0.3929;0.8420;1.4326;0.8192;-5.6294;2.40
45;180;0;-0.4000;2.0755;0.3707;0.8603;1.4309;0.8283;-5.5810;2.48
46;184;0;-0.4000;1.9601;0.3682;0.8081;1.3876;0.8264;-5.5253;2.54
47;188;0;-0.4000;1.9966;0.3645;0.8204;1.4005;0.8462;-5.4611;2.62
48;192;0;-0.4000;2.1423;0.3776;0.8871;1.4411;0.8742;-5.3978;2.69
49;196;0;-0.4000;1.9181;0.4523;0.8703;1.3825;0.8996;-5.3453;2.77
50;200;0;-0.4000;1.7314;0.5171;0.7565;1.3139;0.8821;-5.2986;2.84
51;204;0;2.8573;1.6531;0.5674;0.7392;1.2839;0.7798;-5.2388;2.91
52;208;0;-0.4000;1.8704;0.5584;0.7984;1.3546;0.7428;-5.1306;2.99
53;212;0;-0.4000;1.6987;0.5715;0.7320;1.2983;0.7442;-5.0256;3.07
54;216;0;-0.4000;1.8192;0.5919;0.7811;1.3336;0.6781;-4.9654;3.14
55;220;0;-0.4000;1.5898;0.6311;0.7237;1.2577;0.6775;-4.8442;3.21
56;224;0;-0.4000;1.0027;0.6536;0.5811;0.9979;0.6721;-2.7327;3.29
57;228;0;-0.4000;0.8619;0.6761;0.5906;0.9241;0.6978;-2.8422;3.38
58;232;0;-0.4000;1.6739;0.6401;0.6826;1.2638;0.6799;-4.6877;3.46
