Timestep;Frame;Episode;Reward;Loss;Aux-Loss;TD_mean_abs;TD_std;TD_max;TD_min;Time
32;128;0;-0.4000;2.7448;1.0868;0.8335;1.6387;0.4020;-7.0881;1.39
33;132;0;-0.4000;2.7192;0.8210;0.7664;1.6193;0.3986;-7.0966;1.45
34;136;0;-0.4000;2.6970;0.6513;0.7877;1.6182;0.4624;-7.0740;1.51
35;140;0;-0.4000;2.6688;0.5838;0.7794;1.6088;0.4713;-7.0273;1.59
36;144;0;3.3453;3.0425;0.5812;0.8782;1.6966;0.4867;-6.9755;1.67
37;148;0;-0.4000;2.6212;0.6001;0.7947;1.5986;0.5034;-6.9353;1.74
38;152;0;-0.4000;2.6882;0.5763;0.8297;1.6222;0.5298;-6.8889;1.81
39;156;0;-0.4000;2.9710;0.5312;0.9012;1.6849;0.5243;-6.8402;1.88
40;160;0;-0.4000;2.9451;0.4778;0.9067;1.6802;0.5661;-6.7945;1.96
41;164;0;-0.4000;2.9038;0.4312;0.8956;1.6675;0.6008;-6.7513;2.03
42;168;0;-0.4000;1.4844;0.3988;0.7120;1.2138;0.6558;-3.5421;2.11
43;172;0;-0.4000;1.0902;0.3806;0.5920;1.0441;0.6927;-3.5189;2.18
44;176;0;-0.4000;2.5416;0.3630;0.8243;1.5809;0.7554;-6.6459;2.25
45;180;0;-0.4000;1.1854;0.3346;0.6516;1.0880;0.7815;-3.4848;2.33
46;184;0;-0.4000;2.0795;0.3145;0.7340;1.4412;0.7725;-6.5694;2.40
47;188;0;-0.4000;2.7133;0.2885;0.8705;1.6132;0.7344;-6.5220;2.47
48;192;0;-0.4000;2.7621;0.2771;0.9442;1.6428;0.8019;-6.4753;2.55
49;196;0;3.3453;2.1316;0.3152;0.7912;1.4600;0.8072;-6.4204;2.62
50;200;0;-0.4000;1.5371;0.3945;0.7671;1.2386;0.7396;-3.4111;2.69
51;204;0;-0.4000;2.0946;0.5365;0.7282;1.4445;0.6188;-6.3474;2.77
52;208;0;-0.4000;0.7927;0.6618;0.5037;0.8860;0.4527;-3.3510;2.84
53;212;0;-0.4000;2.4316;0.6539;0.7741;1.5372;0.4138;-6.3498;2.92
54;216;0;-0.4000;2.0472;0.5888;0.6940;1.4254;0.4443;-6.2307;2.99
55;220;0;3.3453;1.8548;0.5504;0.8003;1.3392;0.4480;-3.4878;3.06
56;224;0;-0.4000;2.3087;0.5387;0.8008;1.5063;0.4880;-6.1539;3.14
57;228;0;-0.4000;1.1155;0.5121;0.6232;1.0561;0.5024;-3.2592;3.22
